text,label
"Breaking: Scientists discover a new planet made entirely of cheese. The moon is jealous.",0
"The city council announced a new budget plan for the upcoming fiscal year, focusing on infrastructure repairs.",1
"Aliens have landed in Times Square and are demanding unlimited pizza supplies.",0
"The local library will be hosting a book fair this weekend featuring local authors.",1
"Study shows that eating chocolate cake for breakfast leads to 100% weight loss in 2 days.",0
"Global markets reacted positively to the new trade agreement signed yesterday.",1
"Man builds a time machine using only cardboard and duct tape, visits dinosaurs.",0
"Scientists have successfully developed a new vaccine to prevent the common flu strain.",1
"Unicorns spotted frolicking in Central Park, tourists amazed.",0
"The national weather service predicts heavy rainfall for the eastern coast this week.",1
"Elvis Presley found alive and working at a gas station in Nevada.",0
"Education department releases new guidelines for high school curriculum.",1
"Government creates new tax on breathing air, citizens outraged.",0
"NASA prepares for the launch of the next Mars rover mission.",1
"Cat elected mayor of small town, promises more naps for everyone.",0
"Local sports team wins the championship after a thrilling overtime game.",1
"Vegetables declared illegal by the president, candy is now mandatory.",0
"New study highlights the benefits of regular exercise for cardiovascular health.",1
"Secret society of squirrels plotting world domination discovered in backyard.",0
"The museum exhibition showcases artifacts from ancient civilizations.",1
